step,run_id,true_count,est_count
30000,17,28980,28986.4
35000,17,33768,33862.9
40000,17,38553,38487
45000,17,43340,43729.5
50000,17,48111,47986.3
55000,17,52910,52448.3
60000,17,57685,57203.2
65000,17,62426,61675.7
70000,17,67170,66499
75000,17,71915,71408.1
80000,17,76666,75721.2
85000,17,81395,80390.2
90000,17,86165,84994.6
95000,17,90921,89512.4
100000,17,95643,94113.8
5000,18,4895,4866.09
10000,18,9746,9663.13
15000,18,14558,14362.1
20000,18,19373,19111.6
25000,18,24176,23954.9
30000,18,28975,28863.7
35000,18,33774,33651
40000,18,38550,38497.5
45000,18,43325,43876.9
50000,18,48099,48337.9
55000,18,52874,52963.1
60000,18,57616,57356.8
65000,18,62367,61647.5
70000,18,67135,66220.4
75000,18,71898,70929.9
80000,18,76658,75496.1
85000,18,81389,80276.7
90000,18,86133,84863
95000,18,90869,89351
100000,18,95611,93814.5
5000,19,4909,4870.13
10000,19,9710,9692.01
15000,19,14530,14536
20000,19,19338,19250.2
25000,19,24149,24137.2
30000,19,28973,28887
35000,19,33741,33418.7
40000,19,38531,38299.5
45000,19,43330,43573
50000,19,48098,48219
55000,19,52869,52570.3
60000,19,57648,57052.6
65000,19,62409,61590.5
70000,19,67172,66115.1
75000,19,71953,71042.1
80000,19,76726,75734.2
85000,19,81482,80262.1
90000,19,86232,84953.8
95000,19,90985,89146.6
100000,19,95723,93097
